filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,0,3.0,Porzana carolina,Sora,0.9887,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,3.0,6.0,Porzana carolina,Sora,0.9852,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,6.0,9.0,Porzana carolina,Sora,0.8668,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,9.0,12.0,Porzana carolina,Sora,0.8610,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,12.0,15.0,Porzana carolina,Sora,0.8018,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,15.0,18.0,Porzana carolina,Sora,0.9521,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,18.0,21.0,Porzana carolina,Sora,0.9885,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,21.0,24.0,Porzana carolina,Sora,0.9831,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,24.0,27.0,Porzana carolina,Sora,0.6400,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,27.0,30.0,Porzana carolina,Sora,0.9571,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,30.0,33.0,Porzana carolina,Sora,0.7389,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Winthrow Creek\ARU_9171 (Site 2)\13794237_20230611_YellowRail2023 [+51.92958-122.86511]\nocturnal_random_selected\WINTHROW2_20230611_233000.wav,33.0,36.0,Porzana carolina,Sora,0.9883,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
