filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,0,3.0,Porzana carolina,Sora,0.9434,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,3.0,6.0,Porzana carolina,Sora,0.9922,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,6.0,9.0,Porzana carolina,Sora,0.9809,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,9.0,12.0,Porzana carolina,Sora,0.9915,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,12.0,15.0,Porzana carolina,Sora,0.9961,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,15.0,18.0,Porzana carolina,Sora,0.9774,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,18.0,21.0,Porzana carolina,Sora,0.9815,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,21.0,24.0,Porzana carolina,Sora,0.9968,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,24.0,27.0,Porzana carolina,Sora,0.9959,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230610_YellowRail2023 [+51.79253-121.37726]\nocturnal_random_selected\PETE2_20230610_012000.wav,27.0,30.0,Porzana carolina,Sora,0.9679,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
