filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,0,3.0,Porzana carolina,Sora,0.7788,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,6.0,9.0,Porzana carolina,Sora,0.6397,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,12.0,15.0,Porzana carolina,Sora,0.6851,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,15.0,18.0,Porzana carolina,Sora,0.7102,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,18.0,21.0,Rallus limicola,Virginia Rail,0.6619,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,21.0,24.0,Rallus limicola,Virginia Rail,0.8739,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,21.0,24.0,Porzana carolina,Sora,0.6812,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,27.0,30.0,Porzana carolina,Sora,0.7321,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,30.0,33.0,Porzana carolina,Sora,0.6499,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Helena Conservation\ARU_9140 (Site 2)\22651519_20230607_YellowRail2023 [+51.81132-121.64846]\00009140_22651519_20230607T232000-0700_REC [+51.81132-121.64846].wav,33.0,36.0,Porzana carolina,Sora,0.7231,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
