filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,0,3.0,Cistothorus palustris,Marsh Wren,0.7638,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,6.0,9.0,Cistothorus palustris,Marsh Wren,0.7609,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,15.0,18.0,Cistothorus palustris,Marsh Wren,0.5935,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,21.0,24.0,Cistothorus palustris,Marsh Wren,0.6691,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,30.0,33.0,Cistothorus palustris,Marsh Wren,0.5653,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,39.0,42.0,Cistothorus palustris,Marsh Wren,0.9180,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,42.0,45.0,Cistothorus palustris,Marsh Wren,0.5054,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,45.0,48.0,Cistothorus palustris,Marsh Wren,0.6131,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,48.0,51.0,Cistothorus palustris,Marsh Wren,0.9059,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Lilypad Lake\ARU_8860 (Site 1)\16801541_20230612_YellowRail2023 [+51.73275-121.40674]\00008860_16801541_20230612T020000-0700_REC [+51.73275-121.40674].wav,54.0,57.0,Cistothorus palustris,Marsh Wren,0.5552,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
